,Game,Price,Genres,IGN_score,Release Date,Player Sentiment,Positive Reviews [%],No. of Reviews
280,Boneworks,23.79," Action, Adventure, Indie, Simulation",7.9,2019-12-10,Very Positive,0.92,27952
281,Halo: The Master Chief Collection (2019),29.99, Action,9.5,2019-12-03,Very Positive,0.92,173369
282,Phoenix Point,23.79," RPG, Strategy",7.0,2020-12-03,Mostly Positive,0.72,3198
283,MechWarrior 5: Mercenaries review,24.99," Action, Simulation",8.1,2021-05-27,Very Positive,0.84,4697
284,Shovel Knight: King of Cards,7.99," Action, Adventure, Indie",8.5,2019-12-10,Very Positive,0.9,136
285,Darksiders Genesis,26.99," Action, Adventure",8.7,2019-12-05,Very Positive,0.84,7273
286,Shenmue 3,24.99," Action, Adventure",5.9,2020-11-19,Very Positive,0.8,568
287,Terminator: Resistance,34.99," Action, Adventure, RPG",4.0,2019-11-14,Very Positive,0.92,8022
288,Star Wars Jedi: Fallen Order,34.99," Action, Adventure",9.0,2019-11-15,Very Positive,0.9,80981
289,Planet Zoo,34.99," Casual, Simulation, Strategy",8.5,2019-11-05,Very Positive,0.9,49329
290,Pistol Whip,23.79," Action, Indie",8.0,2019-11-07,Very Positive,0.93,2852
291,Moons of Madness,21.99, Adventure,5.0,2019-10-22,Mostly Positive,0.77,1573
292,Afterparty,15.49," Adventure, Casual, Indie",8.5,2020-10-22,Mostly Positive,0.74,431
293,Plants vs Zombies: Battle for Neighborville,34.99," Action, Casual, Strategy",7.4,2019-10-18,Mostly Positive,0.73,6900
294,The Outer Worlds,49.99, RPG,8.5,2020-10-23,Very Positive,0.85,17056
295,Disco Elysium,34.99, RPG,9.6,2019-10-15,Very Positive,0.94,53731
296,Ghostbusters: The Video Game Remastered,19.49, Action,6.0,2019-10-04,Very Positive,0.93,653
297,John Wick Hex,15.49," Action, Strategy",6.8,2020-12-04,Mostly Positive,0.71,211
298,Indivisible,34.99," Action, Indie, RPG",8.8,2019-10-08,Mostly Positive,0.73,1821
299,Trine 4: The Nightmare Prince,24.99," Action, Adventure, Indie",8.5,2019-10-08,Very Positive,0.9,7931
300,Overland,15.49, Strategy,7.5,2019-09-19,Mostly Positive,0.72,349
301,Untitled Goose Game,15.49," Action, Indie",8.0,2020-09-23,Overwhelmingly Positive,0.95,9822
302,WRC 8,4.99," Racing, Simulation, Sports",8.4,2020-09-08,Mostly Positive,0.73,733
303,GreedFall,29.99, RPG,8.2,2019-09-09,Mostly Positive,0.77,13201
304,Gears 5,34.99," Action, Adventure",9.0,2019-09-10,Mixed,0.69,15458
305,Borderlands 3,12.49," Action, RPG",9.0,2020-03-13,Very Positive,0.84,79939
306,Monster Hunter World: Iceborne,34.99, Action,9.0,2020-01-09,Mixed,0.55,14647
307,Blair Witch,24.99," Adventure, Indie",8.8,2019-08-30,Mostly Positive,0.77,4186
308,The Dark Pictures: Man of Medan,24.99, Adventure,7.0,2019-08-29,Mostly Positive,0.72,5742
309,Ancestors: The Humankind Odyssey,32.99," Action, Adventure, Indie, RPG",7.0,2020-08-27,Very Positive,0.8,4746
310,Wreckfest,26.74," Action, Indie, Racing, Simulation, Sports",9.0,2018-06-14,Very Positive,0.86,23191
